"Comment","Designator","Footprint","LCSC Part Number"
"0.1 uF","C14","Capacitor_SMD:C_0603_1608Metric","C1002"
"0.33 uF","C13","Capacitor_SMD:C_0805_2012Metric","C1740"
"1 uF","C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C15","Capacitor_SMD:C_1812_4532Metric","C342623"
"10 K?","R1","Resistor_SMD:R_0805_2012Metric","C17414"
"22 pF","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1555"
"330","R2,R3,R4","Resistor_SMD:R_0402_1005Metric","C156103"
"AS78L05RTR-E1","U1","AS78L05RTR_E1:SOT89_B8D_DIO","C90471"
"BLUE","D3","LED_SMD:LED_Everlight-SMD3528_3.5x2.8mm_67-21ST","C5336701"
"Conn_01x03_Socket","J2","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","C146243"
"Conn_01x05_Socket","J3","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-05P_1x05_P5.00mm","C50950"
"Conn_01x16_Socket","J1","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-16P_1x16_P5.00mm","C66987"
"GREEN","D2","LED_SMD:LED_Everlight-SMD3528_3.5x2.8mm_67-21ST","C5336507"
"LEMO2","J4","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","C49661"
"PIC18F86J72-I_PT","IC1","ul_PIC18F87J72-I-PT:TQFP80_12x12MC_MCH","C635577"
"RED","D1","LED_SMD:LED_Everlight-SMD3528_3.5x2.8mm_67-21ST","C5336605"
"SW_DPST_x2","SW4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C5360898"
"SW_Omron_B3FS","SW1,SW2,SW3","Button_Switch_THT:SW_PUSH-12mm","C722171"
"VEE","RV3","Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal","C5205032"
"Vref +","RV2","Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal","C5205032"
"Vref -","RV1","Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal","C5205032"
