Designator,Footprint,Quantity,Value,LCSC Part #,,,
"C1, C2",402,2,22 pF,C1555,,,
"C15, C16",402,2,0.1μF,C1525,,,
"C10, C11, C3, C4, C5, C6, C8, C9",201,10,0.1 μF,C49062,,,
"C13,C14",201,1,1 μF,C274414,,,
C7,805,1,10 μF,C15850,,,
D1,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,1,LED,C5336605,,,
D2,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,1,LED,C5336507,,,
D3,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,1,LED,C5336701,,,
IC1,QFP50P1200X1200X120-64N,1,PIC24FJ128GC006-I_PT,C220814,,,
IC2,SOT230P700X180-4N,1,TC1262-3.3VDBTR,C52507,,,
J1,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Socket,C66987,,,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,C146243,,,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,C50950,,,
J4,PinHeader_1x02_P2.54mm_Vertical,1,LEMO2,C49661,,,
"R2, R3, R4,R5",402,4,330 Ω,C12246,,,
R6,1206,1,10 ΚΩ,C1489,,,
RV1,Potentiometer_Runtron_RM-063_Horizontal,1,VEE,C5205032,,,
"SW1,SW2,SW3",SW_PUSH-12mm,3,Pause,C83919,,,
SW4,PinHeader_1x02_P2.54mm_Vertical,1,SW_DPST_x2,C32713268,,,
Y1,Crystal_HC18-U_Vertical,1,20 MHz,C5160145,,,
J5,,1,Jumper for SW4,C132447,,,
