Designator,Mid X,Mid Y,Rotation,Layer,,,,
C1,124.6124,-41.3004,0,top,,,,
C10,110.4392,-56.4896,0,top,,,,
C11,100.584,-48.9204,0,top,,,,
C13,101.6508,-65.4832,0,top,,,,
C14,112.3188,-65.4324,0,top,,,,
C15,89.2556,-30.3276,180,top,,,,
C16,124.714,-31.8516,0,top,,,,
C2,124.6632,-46.3296,0,top,,,,
C3,116.8908,-50.3936,180,top,,,,
C4,137.16,-41.2648,270,top,,,,
C5,100.5688,-44.1452,0,top,,,,
C6,106.0552,-56.4388,180,top,,,,
C7,108.1532,-39.7764,0,top,,,,
C8,116.7892,-48.8696,0,top,,,,
C9,115.1128,-55.1688,0,top,,,,
D1,91.4936,-54.3052,0,top,,,,
D2,91.44,-59.5884,0,top,,,,
D3,91.4428,-64.5988,0,top,,,,
IC1,109.2186,-47.6238,0,top,,,,
IC2,107.0356,-62.486,90,top,,,,
J1,106.9848,-27.686,270,top,,,,
J2,120.8024,-54.4068,270,top,,,,
J3,135.0264,-43.434,0,top,,,,
J4,106.421,-69.342,90,top,,,,
R2,95.7072,-54.7624,180,top,,,,
R3,95.7072,-60.198,0,top,,,,
R4,95.7072,-65.0748,0,top,,,,
R5,100.4844,-46.6852,0,top,,,,
R6,96.9264,-44.0436,180,top,,,,
RV1,134.4168,-28.4484,180,top,,,,
SW1,77.116,-33.1324,0,top,,,,
SW2,77.116,-48.6824,0,top,,,,
SW3,77.116,-64.2324,0,top,,,,
SW4,115.7732,-61.2668,180,top,,,,
Y1,120.7008,-43.8912,270,top,,,,
J5,115.7732,-61.2668,180,top,,,,
